sample.name,wwtp,wrf,collection.date,season,pore.size,index,GenomeName,RefSeqID,Proteins,Reference,Size (Kb),realm (Reference),realm (prediction),phylum (Reference),phylum (prediction),class (Reference),class (prediction),order (Reference),order (prediction),family (Reference),family (prediction),subfamily (Reference),subfamily (prediction),genus (Reference),genus (prediction),network
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,3571,Sulfolobus filamentous virus 1,NC_048037.1,66,TRUE,37.311,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,3660,Sulfolobales Beppu filamentous virus 2,NC_048128.1,68,TRUE,38.091,,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,733,Sulfolobus islandicus filamentous virus,NC_003214.2,73,TRUE,40.9,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,1055,Betalipothrixvirus pozzuoliense,NC_010152.1,66,TRUE,39.577,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,1056,Betalipothrixvirus pezzuloense,NC_010153.1,57,TRUE,36.895,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,1057,Betalipothrixvirus puteoliense,NC_010154.1,61,TRUE,38.179,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,1058,Betalipothrixvirus acidiani,NC_010155.1,68,TRUE,40.449,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,1071,Betalipothrixvirus uzonense,NC_010537.1,73,TRUE,41.172,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,1042,Deltalipothrixvirus pozzuoliense,NC_009884.1,52,TRUE,31.787,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus,Fully clustered
4.2,"San Jose, CA","WRF D, CA",9/19/22,fall,20 um,3659,Sulfolobales Beppu filamentous virus 3,NC_048127.1,54,TRUE,31.324,,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,nan,noRef_of_Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus,Fully clustered
